atom_id,group_id
i101_14_4_5i,g1017
i101_14_4_5i,g1328
i101_14_4_6i,g1017
i101_14_4_6i,g1328
i101_14_4_8i,g1016
i101_14_4_8i,g1327
i101_14_4_9i,g1016
i101_14_4_9i,g1327
i101_61_1_10i,g1018
i101_61_1_10i,g1329
i101_61_1_11i,g1018
i101_61_1_11i,g1329
i101_61_1_12i,g314
i101_61_1_13i,g49
i101_61_1_13_1i,g49
i101_61_1_13_2i,g49
i101_61_1_13_3i,g49
i101_61_1_14i,g50
i101_61_1_14_1i,g50
i101_61_1_14_2i,g50
i101_61_1_14_3i,g50
i101_61_1_15i,g1018
i101_61_1_15i,g1329
i101_61_1_16i,g1018
i101_61_1_16i,g1329
i101_61_1_17i,g1019
i101_61_1_17i,g1330
i101_61_1_18i,g51
i101_61_1_18_1i,g51
i101_61_1_18_2i,g51
i101_61_1_18_3i,g51
i101_61_1_19i,g52
i101_61_1_19_1i,g52
i101_61_1_19_2i,g52
i101_61_1_19_3i,g52
i101_61_1_1i,g313
i101_61_1_2i,g1019
i101_61_1_2i,g1330
i101_61_1_3i,g1019
i101_61_1_3i,g1330
i101_61_1_4i,g1019
i101_61_1_4i,g1330
i101_61_1_5i,g1019
i101_61_1_5i,g1330
i101_61_1_6i,g1019
i101_61_1_6i,g1330
i101_61_1_8i,g1018
i101_61_1_8i,g1329
i101_61_1_9i,g1018
i101_61_1_9i,g1329
i101_68_8_10i,g1020
i101_68_8_10i,g1331
i101_68_8_11i,g1020
i101_68_8_11i,g1331
i101_68_8_12i,g1020
i101_68_8_12i,g1331
i101_68_8_13i,g1020
i101_68_8_13i,g1331
i101_68_8_14i,g1000
i101_68_8_15i,g1000
i101_68_8_17i,g1020
i101_68_8_17i,g1331
i101_68_8_18i,g1020
i101_68_8_18i,g1331
i101_68_8_19i,g1021
i101_68_8_19i,g1332
i101_68_8_2i,g999
i101_68_8_3i,g999
i101_68_8_4i,g1021
i101_68_8_4i,g1332
i101_68_8_5i,g1021
i101_68_8_5i,g1332
i101_68_8_6i,g1021
i101_68_8_6i,g1332
i101_68_8_7i,g1021
i101_68_8_7i,g1332
i101_68_8_8i,g1021
i101_68_8_8i,g1332
i101_77_9_10i,g1022
i101_77_9_10i,g1333
i101_77_9_11i,g1022
i101_77_9_11i,g1333
i101_77_9_12i,g316
i101_77_9_12_1i,g316
i101_77_9_12_2i,g316
i101_77_9_13i,g1022
i101_77_9_13i,g1333
i101_77_9_14i,g1022
i101_77_9_14i,g1333
i101_77_9_15i,g1023
i101_77_9_15i,g1334
i101_77_9_1i,g315
i101_77_9_1_1i,g315
i101_77_9_1_2i,g315
i101_77_9_2i,g1023
i101_77_9_2i,g1334
i101_77_9_3i,g1023
i101_77_9_3i,g1334
i101_77_9_4i,g1023
i101_77_9_4i,g1334
i101_77_9_5i,g1023
i101_77_9_5i,g1334
i101_77_9_6i,g1023
i101_77_9_6i,g1334
i101_77_9_8i,g1022
i101_77_9_8i,g1333
i101_77_9_9i,g1022
i101_77_9_9i,g1333
i101_80_4_10i,g1025
i101_80_4_10i,g1336
i101_80_4_11i,g1025
i101_80_4_11i,g1336
i101_80_4_12i,g1025
i101_80_4_12i,g1336
i101_80_4_13i,g318
i101_80_4_13_1i,g318
i101_80_4_13_2i,g318
i101_80_4_14i,g1025
i101_80_4_14i,g1336
i101_80_4_15i,g1025
i101_80_4_15i,g1336
i101_80_4_1i,g460
i101_80_4_2i,g1024
i101_80_4_2i,g1335
i101_80_4_3i,g1024
i101_80_4_3i,g1335
i101_80_4_4i,g1024
i101_80_4_4i,g1335
i101_80_4_5i,g1024
i101_80_4_5i,g1335
i101_80_4_6i,g317
i101_80_4_6_1i,g317
i101_80_4_6_2i,g317
i101_80_4_7i,g1024
i101_80_4_7i,g1335
i101_80_4_8i,g1024
i101_80_4_8i,g1335
i101_80_4_9i,g1025
i101_80_4_9i,g1336
i1024_57_3_10i,g1284
i1024_57_3_10i,g1338
i1024_57_3_10i,g1646
i1024_57_3_10i,g1683
i1024_57_3_11i,g1284
i1024_57_3_11i,g1338
i1024_57_3_11i,g1646
i1024_57_3_11i,g1683
i1024_57_3_12i,g651
i1024_57_3_13i,g1284
i1024_57_3_13i,g1338
i1024_57_3_13i,g1646
i1024_57_3_13i,g1647
i1024_57_3_13i,g1683
i1024_57_3_13i,g1684
i1024_57_3_14i,g652
i1024_57_3_15i,g1646
i1024_57_3_15i,g1647
i1024_57_3_15i,g1683
i1024_57_3_15i,g1684
i1024_57_3_16i,g653
i1024_57_3_17i,g654
i1024_57_3_18i,g655
i1024_57_3_1i,g649
i1024_57_3_2i,g1309
i1024_57_3_2i,g1337
i1024_57_3_2i,g1645
i1024_57_3_2i,g1682
i1024_57_3_3i,g1309
i1024_57_3_3i,g1337
i1024_57_3_3i,g1645
i1024_57_3_3i,g1682
i1024_57_3_3i,g986
i1024_57_3_4i,g1309
i1024_57_3_4i,g1337
i1024_57_3_4i,g986
i1024_57_3_5i,g1309
i1024_57_3_5i,g1337
i1024_57_3_5i,g1645
i1024_57_3_5i,g1682
i1024_57_3_5i,g986
i1024_57_3_6i,g1284
i1024_57_3_6i,g1309
i1024_57_3_6i,g1337
i1024_57_3_6i,g1338
i1024_57_3_6i,g1645
i1024_57_3_6i,g1647
i1024_57_3_6i,g1682
i1024_57_3_6i,g1684
i1024_57_3_7i,g1284
i1024_57_3_7i,g1309
i1024_57_3_7i,g1337
i1024_57_3_7i,g1338
i1024_57_3_7i,g1645
i1024_57_3_7i,g1647
i1024_57_3_7i,g1682
i1024_57_3_7i,g1684
i1024_57_3_8i,g1284
i1024_57_3_8i,g1338
i1024_57_3_8i,g1646
i1024_57_3_8i,g1647
i1024_57_3_8i,g1683
i1024_57_3_8i,g1684
i1024_57_3_9i,g650
i103_23_1_11i,g54
i103_23_1_11_1i,g54
i103_23_1_11_2i,g54
i103_23_1_11_3i,g54
i103_23_1_16i,g568
i103_23_1_17i,g568
i103_23_1_18i,g568
i103_23_1_1i,g567
i103_23_1_24i,g55
i103_23_1_24_1i,g55
i103_23_1_24_2i,g55
i103_23_1_24_3i,g55
i103_23_1_26i,g56
i103_23_1_26_1i,g56
i103_23_1_26_2i,g56
i103_23_1_26_3i,g56
i103_23_1_2i,g567
i103_23_1_3i,g567
i103_23_1_9i,g53
i103_23_1_9_1i,g53
i103_23_1_9_2i,g53
i103_23_1_9_3i,g53
i104_94_9_1i,g274
i104_94_9_1i,g461
i104_94_9_2i,g1026
i104_94_9_2i,g1339
i104_94_9_3i,g1026
i104_94_9_3i,g1339
i104_94_9_4i,g1026
i104_94_9_4i,g1339
i104_94_9_5i,g1026
i104_94_9_5i,g1339
i104_94_9_6i,g319
i104_94_9_6_1i,g319
i104_94_9_6_2i,g319
i104_94_9_7i,g1026
i104_94_9_7i,g1339
i104_94_9_8i,g1026
i104_94_9_8i,g1339
i104_94_9_9i,g274
i104_94_9_9_1i,g274
i104_94_9_9_2i,g274
i104_94_9_9_3i,g274
i105_67_9_1i,g523
i105_67_9_1_1i,g523
i105_67_9_2i,g1027
i105_67_9_2i,g1340
i105_67_9_3i,g1027
i105_67_9_3i,g1340
i105_67_9_4i,g1027
i105_67_9_4i,g1340
i105_67_9_5i,g1027
i105_67_9_5i,g1340
i105_67_9_6i,g1027
i105_67_9_6i,g1340
i105_67_9_7i,g57
i105_67_9_7_1i,g57
i105_67_9_7_2i,g57
i105_67_9_7_3i,g57
i105_67_9_8i,g58
i105_67_9_8_1i,g58
i105_67_9_8_2i,g58
i105_67_9_8_3i,g58
i105_67_9_9i,g1027
i105_67_9_9i,g1340
i106_42_3_1i,g1028
i106_42_3_1i,g1341
i106_42_3_2i,g1028
i106_42_3_2i,g1341
i106_42_3_3i,g1028
i106_42_3_3i,g1341
i106_42_3_4i,g1028
i106_42_3_4i,g1341
i106_42_3_5i,g1028
i106_42_3_5i,g1341
i106_42_3_6i,g59
i106_42_3_6_1i,g59
i106_42_3_6_2i,g59
i106_42_3_6_3i,g59
i106_42_3_7i,g1028
i106_42_3_7i,g1341
i106_42_3_8i,g60
i106_42_3_8_1i,g60
i106_42_3_8_2i,g60
i106_42_3_8_3i,g60
i106_44_5_1i,g524
i106_44_5_1_1i,g524
i106_44_5_2i,g1029
i106_44_5_2i,g1342
i106_44_5_3i,g1029
i106_44_5_3i,g1342
i106_44_5_4i,g1029
i106_44_5_4i,g1342
i106_44_5_5i,g1029
i106_44_5_5i,g1342
i106_44_5_6i,g1029
i106_44_5_6i,g1342
i106_44_5_7i,g61
i106_44_5_7_1i,g61
i106_44_5_7_2i,g61
i106_44_5_7_3i,g61
i106_44_5_8i,g1029
i106_44_5_8i,g1342
i106_46_7_1i,g1030
i106_46_7_1i,g1343
i106_46_7_2i,g1030
i106_46_7_2i,g1343
i106_46_7_3i,g1030
i106_46_7_3i,g1343
i106_46_7_4i,g1030
i106_46_7_4i,g1343
i106_46_7_5i,g1030
i106_46_7_5i,g1343
i106_46_7_6i,g884
i106_46_7_7i,g1030
i106_46_7_7i,g1343
i106_46_7_8i,g885
i106_50_3_1i,g320
i106_50_3_1_1i,g320
i106_50_3_1_2i,g320
i106_50_3_2i,g1031
i106_50_3_2i,g1344
i106_50_3_3i,g1031
i106_50_3_3i,g1344
i106_50_3_4i,g1031
i106_50_3_4i,g1344
i106_50_3_5i,g1031
i106_50_3_5i,g1344
i106_50_3_6i,g321
i106_50_3_6_1i,g321
i106_50_3_6_2i,g321
i106_50_3_7i,g1031
i106_50_3_7i,g1344
i106_50_3_8i,g1031
i106_50_3_8i,g1344
i106_51_4_1i,g1285
i106_51_4_1i,g1345
i106_51_4_3i,g1285
i106_51_4_3i,g1345
i106_51_4_4i,g1285
i106_51_4_4i,g1345
i106_51_4_5i,g1285
i106_51_4_5i,g1345
i106_51_4_7i,g1285
i106_51_4_7i,g1345
i106_51_4_8i,g1285
i106_51_4_8i,g1345
i106_88_7_1i,g987
i106_88_7_2i,g987
i106_88_7_4i,g62
i106_88_7_4_1i,g62
i106_88_7_4_2i,g62
i106_88_7_4_3i,g62
i106_88_7_5i,g987
i106_89_8_1i,g988
i106_89_8_2i,g988
i106_89_8_4i,g656
i106_89_8_5i,g988
i106_93_4_1i,g657
i106_93_4_4i,g658
i107_02_8_1i,g443
i107_02_8_2i,g443
i107_02_8_2_1i,g443
i107_05_1_4i,g659
i107_06_2_1i,g660
i107_06_2_4i,g661
i107_18_6_1i,g495
i107_18_6_1_1i,g495
i107_21_1_1i,g496
i107_21_1_1_1i,g496
i107_21_1_4i,g497
i107_21_1_4_1i,g497
i107_30_2_1i,g275
i107_30_2_1i,g462
i107_30_2_3i,g662
i107_30_2_4i,g275
i107_30_2_4_1i,g275
i107_30_2_4_2i,g275
i107_30_2_4_3i,g275
i108_10_1_1i,g452
i108_10_1_2i,g452
i108_10_1_5i,g63
i108_10_1_5_1i,g63
i108_10_1_5_2i,g63
i108_10_1_5_3i,g63
i108_10_1_6i,g64
i108_10_1_6_1i,g64
i108_10_1_6_2i,g64
i108_10_1_6_3i,g64
i108_10_1_7i,g65
i108_10_1_7_1i,g65
i108_10_1_7_2i,g65
i108_10_1_7_3i,g65
i108_38_3_1i,g1032
i108_38_3_1i,g1346
i108_38_3_2i,g1032
i108_38_3_2i,g1346
i108_38_3_3i,g1032
i108_38_3_3i,g1346
i108_38_3_4i,g1032
i108_38_3_4i,g1346
i108_38_3_5i,g1032
i108_38_3_5i,g1346
i108_38_3_6i,g66
i108_38_3_6_1i,g66
i108_38_3_6_2i,g66
i108_38_3_6_3i,g66
i108_38_3_7i,g1032
i108_38_3_7i,g1346
i108_38_3_8i,g67
i108_38_3_8_1i,g67
i108_38_3_8_2i,g67
i108_38_3_8_3i,g67
i108_39_4_1i,g525
i108_39_4_1_1i,g525
i108_39_4_2i,g1033
i108_39_4_2i,g1347
i108_39_4_3i,g1033
i108_39_4_3i,g1347
i108_39_4_4i,g1033
i108_39_4_4i,g1347
i108_39_4_5i,g1033
i108_39_4_5i,g1347
i108_39_4_6i,g1033
i108_39_4_6i,g1347
i108_39_4_7i,g68
i108_39_4_7_1i,g68
i108_39_4_7_2i,g68
i108_39_4_7_3i,g68
i108_39_4_8i,g1033
i108_39_4_8i,g1347
i108_45_2_1i,g322
i108_45_2_1_1i,g322
i108_45_2_1_2i,g322
i108_45_2_2i,g1034
i108_45_2_2i,g1348
i108_45_2_3i,g1034
i108_45_2_3i,g1348
i108_45_2_4i,g1034
i108_45_2_4i,g1348
i108_45_2_5i,g1034
i108_45_2_5i,g1348
i108_45_2_6i,g1034
i108_45_2_6i,g1348
i108_45_2_7i,g323
i108_45_2_7_1i,g323
i108_45_2_7_2i,g323
i108_45_2_8i,g1034
i108_45_2_8i,g1348
i108_60_1_1i,g463
i108_60_1_4i,g663
i108_60_1_5i,g69
i108_60_1_5_1i,g69
i108_60_1_5_2i,g69
i108_60_1_5_3i,g69
i108_60_1_8i,g664
i108_60_1_9i,g70
i108_60_1_9_1i,g70
i108_60_1_9_2i,g70
i108_60_1_9_3i,g70
i108_78_1_1i,g1279
i108_78_1_1i,g1349
i108_78_1_2i,g1279
i108_78_1_2i,g1349
i108_78_1_3i,g1279
i108_78_1_3i,g1349
i108_78_1_4i,g1279
i108_78_1_4i,g1349
i108_78_1_5i,g1279
i108_78_1_5i,g1349
i108_78_1_6i,g324
i108_78_1_6_1i,g324
i108_78_1_6_2i,g324
i108_78_1_7i,g325
i108_78_1_7_1i,g325
i108_78_1_7_2i,g325
i108_78_1_8i,g1279
i108_78_1_8i,g1349
i108_78_1_9i,g326
i108_78_1_9_1i,g326
i108_78_1_9_2i,g326
i108_88_3_1i,g1035
i108_88_3_1i,g1350
i108_88_3_2i,g1035
i108_88_3_2i,g1350
i108_88_3_3i,g1035
i108_88_3_3i,g1350
i108_88_3_4i,g1035
i108_88_3_4i,g1350
i108_88_3_5i,g1035
i108_88_3_5i,g1350
i108_88_3_6i,g1035
i108_88_3_6i,g1350
i108_88_3_7i,g71
i108_88_3_7_1i,g71
i108_88_3_7_2i,g71
i108_88_3_7_3i,g71
i108_90_7_1i,g1036
i108_90_7_1i,g1351
i108_90_7_2i,g1036
i108_90_7_2i,g1351
i108_90_7_3i,g1036
i108_90_7_3i,g1351
i108_90_7_4i,g1036
i108_90_7_4i,g1351
i108_90_7_5i,g1036
i108_90_7_5i,g1351
i108_90_7_6i,g1036
i108_90_7_6i,g1351
i108_90_7_7i,g886
i108_95_2_1i,g526
i108_95_2_1_1i,g526
i108_95_2_2i,g1037
i108_95_2_2i,g1352
i108_95_2_3i,g1037
i108_95_2_3i,g1352
i108_95_2_4i,g1037
i108_95_2_4i,g1352
i108_95_2_5i,g1037
i108_95_2_5i,g1352
i108_95_2_6i,g1037
i108_95_2_6i,g1352
i108_95_2_7i,g1037
i108_95_2_7i,g1352
i109_86_4_1i,g276
i109_86_4_1i,g464
i109_86_4_4i,g498
i109_86_4_4_1i,g498
i109_86_4_5i,g276
i109_86_4_5_1i,g276
i109_86_4_5_2i,g276
i109_86_4_5_3i,g276
i110_00_9_1i,g1670
i110_00_9_1i,g1685
i110_00_9_2i,g1670
i110_00_9_2i,g1685
i110_00_9_3i,g1670
i110_00_9_3i,g1685
i110_00_9_4i,g1670
i110_00_9_4i,g1685
i110_00_9_5i,g1670
i110_00_9_5i,g1685
i110_80_5_1i,g465
i110_80_5_4i,g499
i110_80_5_4_1i,g499
i110_80_5_6i,g72
i110_80_5_6_1i,g72
i110_80_5_6_2i,g72
i110_80_5_6_3i,g72
i110_82_7_1i,g1286
i110_82_7_1i,g1353
i110_82_7_2i,g1286
i110_82_7_2i,g1353
i110_82_7_3i,g1286
i110_82_7_3i,g1353
i110_82_7_4i,g1286
i110_82_7_4i,g1353
i110_82_7_5i,g1286
i110_82_7_5i,g1353
i110_82_7_6i,g1286
i110_82_7_6i,g1353
i110_86_1_1i,g1280
i110_86_1_1i,g1354
i110_86_1_2i,g1280
i110_86_1_2i,g1354
i110_86_1_3i,g1280
i110_86_1_3i,g1354
i110_86_1_4i,g1280
i110_86_1_4i,g1354
i110_86_1_5i,g1280
i110_86_1_5i,g1354
i110_86_1_6i,g1280
i110_86_1_6i,g1354
i1116_54_7_3i,g328
i1116_54_7_6i,g504
i1116_54_7_6_1i,g504
i1116_54_7_9i,g505
i1116_54_7_9_1i,g505
i111_42_2_1i,g500
i111_42_2_1_1i,g500
i111_42_2_4i,g327
i111_42_2_4_1i,g327
i111_42_2_7i,g501
i111_42_2_7_1i,g501
i111_44_4_1i,g466
i111_44_4_4i,g665
i111_44_4_7i,g666
i111_76_2_1i,g467
i111_76_2_5i,g73
i111_76_2_5_1i,g73
i111_76_2_5_2i,g73
i111_76_2_5_3i,g73
i111_76_2_8i,g502
i111_76_2_8_1i,g502
i111_90_0_1i,g468
i111_90_0_4i,g469
i111_90_0_6i,g74
i111_90_0_6_1i,g74
i111_90_0_6_2i,g74
i111_90_0_6_3i,g74
i111_90_0_9i,g503
i111_90_0_9_1i,g503
i1120_71_4_1i,g0
i1120_71_4_2i,g0
i1120_71_4_2i,g1671
i1120_71_4_2i,g1686
i1120_71_4_3i,g0
i1120_71_4_4i,g0
i1120_71_4_4i,g1671
i1120_71_4_4i,g1686
i1120_71_4_5i,g1671
i1120_71_4_5i,g1686
i1120_71_4_6i,g1671
i1120_71_4_6i,g1686
i1120_71_4_7i,g1671
i1120_71_4_7i,g1686
i114_26_1_10i,g1038
i114_26_1_10i,g1355
i114_26_1_11i,g1038
i114_26_1_11i,g1355
i114_26_1_12i,g470
i114_26_1_14i,g76
i114_26_1_14_1i,g76
i114_26_1_14_2i,g76
i114_26_1_14_3i,g76
i114_26_1_15i,g77
i114_26_1_15_1i,g77
i114_26_1_15_2i,g77
i114_26_1_15_3i,g77
i114_26_1_1i,g75
i114_26_1_1_1i,g75
i114_26_1_1_2i,g75
i114_26_1_1_3i,g75
i114_26_1_2i,g329
i114_26_1_2i,g608
i114_26_1_2_1i,g329
i114_26_1_3i,g569
i114_26_1_3i,g608
i114_26_1_4i,g569
i114_26_1_4i,g608
i114_26_1_5i,g569
i114_26_1_6i,g1038
i114_26_1_6i,g1355
i114_26_1_7i,g1038
i114_26_1_7i,g1355
i114_26_1_8i,g1038
i114_26_1_8i,g1355
i114_26_1_9i,g1038
i114_26_1_9i,g1355
i115_02_6_10i,g553
i115_02_6_11i,g553
i115_02_6_11_1i,g553
i115_02_6_12i,g553
i115_02_6_1i,g330
i115_02_6_1_1i,g330
i115_02_6_1_2i,g330
i115_02_6_4i,g570
i115_02_6_5i,g570
i115_02_6_6i,g570
i115_02_6_7i,g1001
i115_02_6_8i,g1001
i115_07_1_3i,g78
i115_07_1_3_1i,g78
i115_07_1_3_2i,g78
i115_07_1_3_3i,g78
i115_29_7_14i,g1287
i115_29_7_14i,g1356
i115_29_7_14i,g1648
i115_29_7_14i,g1687
i115_29_7_15i,g1287
i115_29_7_15i,g1356
i115_29_7_15i,g1648
i115_29_7_15i,g1649
i115_29_7_15i,g1687
i115_29_7_15i,g1688
i115_29_7_16i,g670
i115_29_7_17i,g1648
i115_29_7_17i,g1649
i115_29_7_17i,g1687
i115_29_7_17i,g1688
i115_29_7_18i,g671
i115_29_7_19i,g672
i115_29_7_1i,g667
i115_29_7_2i,g1287
i115_29_7_2i,g1356
i115_29_7_2i,g1649
i115_29_7_2i,g1688
i115_29_7_3i,g1287
i115_29_7_3i,g1356
i115_29_7_3i,g1649
i115_29_7_3i,g1688
i115_29_7_4i,g668
i115_29_7_5i,g1287
i115_29_7_5i,g1356
i115_29_7_5i,g1648
i115_29_7_5i,g1649
i115_29_7_5i,g1687
i115_29_7_5i,g1688
i115_29_7_6i,g669
i115_29_7_7i,g1287
i115_29_7_7i,g1356
i115_29_7_7i,g1648
i115_29_7_7i,g1687
i1162_65_8_10i,g277
i1162_65_8_10i,g471
i1162_65_8_11i,g277
i1162_65_8_11_1i,g277
i1162_65_8_11_2i,g277
i1162_65_8_11_3i,g277
i1162_65_8_12i,g1039
i1162_65_8_12i,g1357
i1162_65_8_12i,g1358
i1162_65_8_13i,g1357
i1162_65_8_13i,g1650
i1162_65_8_13i,g1691
i1162_65_8_14i,g1650
i1162_65_8_14i,g1691
i1162_65_8_15i,g1357
i1162_65_8_15i,g1650
i1162_65_8_15i,g1691
i1162_65_8_16i,g1650
i1162_65_8_16i,g1691
i1162_65_8_18i,g1650
i1162_65_8_18i,g1691
i1162_65_8_19i,g1357
i1162_65_8_1i,g1672
i1162_65_8_1i,g1689
i1162_65_8_1i,g1690
i1162_65_8_21i,g1357
i1162_65_8_22i,g1039
i1162_65_8_22i,g1357
i1162_65_8_22i,g1358
i1162_65_8_23i,g1039
i1162_65_8_23i,g1358
i1162_65_8_23i,g1689
i1162_65_8_2i,g1672
i1162_65_8_2i,g1690
i1162_65_8_3i,g1672
i1162_65_8_3i,g1690
i1162_65_8_4i,g1672
i1162_65_8_4i,g1690
i1162_65_8_5i,g1672
i1162_65_8_5i,g1689
i1162_65_8_5i,g1690
i1162_65_8_6i,g1689
i1162_65_8_7i,g1039
i1162_65_8_7i,g1358
i1162_65_8_7i,g1689
i1162_65_8_8i,g1039
i1162_65_8_8i,g1358
i1162_65_8_9i,g1039
i1162_65_8_9i,g1358
i1163_19_5_10i,g890
i1163_19_5_11i,g1040
i1163_19_5_11i,g1360
i1163_19_5_12i,g891
i1163_19_5_13i,g1041
i1163_19_5_13i,g1359
i1163_19_5_14i,g1041
i1163_19_5_14i,g1359
i1163_19_5_15i,g1041
i1163_19_5_15i,g1359
i1163_19_5_16i,g1041
i1163_19_5_16i,g1359
i1163_19_5_17i,g1041
i1163_19_5_17i,g1359
i1163_19_5_18i,g892
i1163_19_5_19i,g893
i1163_19_5_1i,g472
i1163_19_5_20i,g894
i1163_19_5_21i,g895
i1163_19_5_22i,g1041
i1163_19_5_22i,g1359
i1163_19_5_23i,g896
i1163_19_5_2i,g1040
i1163_19_5_2i,g1360
i1163_19_5_3i,g1040
i1163_19_5_3i,g1360
i1163_19_5_4i,g1040
i1163_19_5_4i,g1360
i1163_19_5_5i,g1040
i1163_19_5_5i,g1360
i1163_19_5_6i,g1040
i1163_19_5_6i,g1360
i1163_19_5_7i,g887
i1163_19_5_8i,g888
i1163_19_5_9i,g889
i116_06_3_10i,g81
i116_06_3_10_1i,g81
i116_06_3_10_2i,g81
i116_06_3_10_3i,g81
i116_06_3_11i,g331
i116_06_3_11i,g609
i116_06_3_11_1i,g331
i116_06_3_12i,g82
i116_06_3_12_1i,g82
i116_06_3_12_2i,g82
i116_06_3_12_3i,g82
i116_06_3_1i,g609
i116_06_3_2i,g609
i116_06_3_4i,g1002
i116_06_3_4i,g640
i116_06_3_5i,g1002
i116_06_3_5i,g640
i116_06_3_7i,g490
i116_06_3_8i,g79
i116_06_3_8_1i,g79
i116_06_3_8_2i,g79
i116_06_3_8_3i,g79
i116_06_3_9i,g80
i116_06_3_9_1i,g80
i116_06_3_9_2i,g80
i116_06_3_9_3i,g80
i117_79_3_10i,g1042
i117_79_3_10i,g1361
i117_79_3_11i,g1042
i117_79_3_11i,g1361
i117_79_3_12i,g1043
i117_79_3_12i,g1362
i117_79_3_13i,g1043
i117_79_3_13i,g1362
i117_79_3_14i,g1043
i117_79_3_14i,g1362
i117_79_3_15i,g332
i117_79_3_15_1i,g332
i117_79_3_15_2i,g332
i117_79_3_16i,g1043
i117_79_3_16i,g1362
i117_79_3_17i,g1042
i117_79_3_17i,g1361
i117_79_3_17i,g1363
i117_79_3_2i,g1363
i117_79_3_3i,g1043
i117_79_3_3i,g1362
i117_79_3_3i,g1363
i117_79_3_4i,g1043
i117_79_3_4i,g1362
i117_79_3_4i,g1363
i117_79_3_5i,g1363
i117_79_3_7i,g1042
i117_79_3_7i,g1361
i117_79_3_7i,g1363
i117_79_3_8i,g1042
i117_79_3_8i,g1361
i117_79_3_9i,g1042
i117_79_3_9i,g1361
i117_81_7_11i,g84
i117_81_7_11_1i,g84
i117_81_7_11_2i,g84
i117_81_7_11_3i,g84
i117_81_7_12i,g1044
i117_81_7_12i,g1364
i117_81_7_13i,g1044
i117_81_7_13i,g1364
i117_81_7_14i,g1044
i117_81_7_14i,g1364
i117_81_7_15i,g1044
i117_81_7_15i,g1364
i117_81_7_16i,g1044
i117_81_7_16i,g1364
i117_81_7_17i,g572
i117_81_7_18i,g572
i117_81_7_19i,g572
i117_81_7_1i,g571
i117_81_7_25i,g85
i117_81_7_25_1i,g85
i117_81_7_25_2i,g85
i117_81_7_25_3i,g85
i117_81_7_27i,g86
